FID,NOM_MUNICI,Orden,DEPARTAMEN,Codigo_DAN,REGION,latitud,longitud
0,ABEJORRAL,1,ANTIOQUIA,5002,Andina,5.804160118,-75.43840027
1,ABREGO,2,NORTE DE SANTANDER,54003,Andina,8.020440102,-73.15850067
2,ABRIAQUI,3,ANTIOQUIA,5004,Andina,6.626039982,-76.08570099
3,ACACIAS,4,META,50006,Orinoquia,4.010250092,-73.72440338
4,ACANDI,5,CHOCO,27006,Andina,8.435079575,-77.28949738
5,ACEVEDO,6,HUILA,41006,Andina,1.709599972,-75.99710083
6,ACHI,7,BOLIVAR,13006,Caribe,8.622559547,-74.47669983
7,AGRADO,8,HUILA,41013,Andina,2.269160032,-75.71640015
8,AGUA DE DIOS,9,CUNDINAMARCA,25001,Andina,4.372550011,-74.67070007
9,AGUACHICA,10,CESAR,20011,Caribe,8.249839783,-73.62139893
10,AGUADA,11,SANTANDER,68013,Andina,6.175320148,-73.53320313
11,AGUADAS,12,CALDAS,17013,Andina,5.596809864,-75.44989777
12,AGUAZUL,13,CASANARE,85010,Orinoquia,5.126760006,-72.54879761
13,AGUSTIN CODAZZI,14,CESAR,20013,Caribe,9.950559616,-73.21920013
14,AIPE,15,HUILA,41016,Andina,3.263449907,-75.35220337
15,ALBAN,16,CUNDINAMARCA,25019,Andina,4.889480114,-74.44120026
16,ALBAN (San Jose),17,NARINO,52019,Andina,1.47104001,-77.06839752
17,ALBANIA_CAQ,18,CAQUETA,18029,Amazonia,1.229689956,-75.8852005
18,ALBANIA_GUA,19,LA GUAJIRA,44035,Caribe,11.22910023,-72.53220367
19,ALBANIA_SAN,20,SANTANDER,68020,Andina,5.777999878,-73.82830048
20,ALCALA,21,VALLE DEL CAUCA,76020,Andina,4.678440094,-75.78199768
21,ALDANA,22,NARINO,52022,Andina,0.913486004,-77.69560242
22,ALEJANDRIA,23,ANTIOQUIA,5021,Andina,6.36480999,-75.09020233
23,ALGARROBO,24,MAGDALENA,47030,Caribe,10.25409985,-74.10340118
24,ALGECIRAS,25,HUILA,41020,Andina,2.494659901,-75.29229736
